,Абсолютная ошибка,Относительная ошибка,Теоретическая ошибка
3,0.0003766333098933622,0.047375010892131295,0.0025911566804115256
5,3.4546077565256184e-07,4.345395794646543e-05,2.1592972336762714e-05
10,4.551914400963142e-15,5.72564849313873e-13,6.906974825447411e-12
20,3.7703173916270316e-13,4.7425127518778357e-11,5.269867827247845e-27
30,1.8294032955168404e-10,2.3011241643961305e-08,3.197583609355706e-44
40,1.5784719031852745e-07,1.9854888466317122e-05,7.675643515468616e-63
50,0.00013561493847147332,0.017058393451818782,1.616585637471971e-82
60,0.0949788344165754,11.290856338358376,4.82435350784224e-103
70,47.48382435099228,101.69131984828093,2.8117743633623897e-124
80,57361.4663247959,100.00138047564458,4.028386698381146e-146
90,77955310.00554986,99.99999952267834,1.6868122864342624e-168
100,66128295809.75994,100.00000000119744,2.3627564253351933e-191
