,0,1,2,3,4,5,6,7,8,9,10,11,12
0.1,-0.7950041652780258,-0.7066487158295592,-0.6165747961885898,-0.5247941070689432,-0.43132131189723055,-0.33617401135919345,-0.23937271284737893,-0.14094079486317734,-0.040904466435018216,0.060707278376831764,0.1638627108098979,0.26852742247618555,0.3746643850903216
0.14166666666666666,0.08835544944846652,0.09007391964096945,0.09178068911964654,0.0934727951717127,0.0951473005380371,0.09680129851181452,0.09843191798420159,0.10003632842815913,0.10161174481184998,0.10315543243306613,0.10466471166628766,0.10613696261413608,
0.18333333333333335,0.00171847019250293,0.0017067694786770948,0.0016921060520661557,0.001674505366324408,0.0016539979737774102,0.0016306194723870737,0.001604410443957538,0.001575416383690853,0.0015436876212161499,0.0015092792332215277,0.0014722509478484191,,
0.225,-1.1700713825835152e-05,-1.4663426610939112e-05,-1.7600685741747668e-05,-2.050739254699785e-05,-2.337850139033648e-05,-2.6209028429535763e-05,-2.899406026668494e-05,-3.172876247470313e-05,-3.44083879946222e-05,-3.702828537310854e-05,,,
0.26666666666666666,-2.9627127851039603e-06,-2.937259130808556e-06,-2.906706805250181e-06,-2.8711088433386323e-06,-2.830527039199282e-06,-2.7850318371491767e-06,-2.7347022080181915e-06,-2.679625519919071e-06,-2.6198973784863355e-06,,,,
0.30833333333333335,2.545365429540425e-08,3.055232555837506e-08,3.5597961911548737e-08,4.05818041393502e-08,4.5495202050105377e-08,5.0329629130985154e-08,5.5076688099120474e-08,5.972814143273553e-08,,,,,
0.35,5.098671262970811e-09,5.045636353173677e-09,4.9838422278014605e-09,4.9133979107551795e-09,4.834427080879777e-09,4.74705896813532e-09,4.651453333615052e-09,,,,,,
0.3916666666666666,-5.303490979713388e-11,-6.179412537221651e-11,-7.044431704628096e-11,-7.897082987540216e-11,-8.7368112744457e-11,-9.560563452026827e-11,,,,,,,
0.43333333333333335,-8.759215575082635e-12,-8.650191674064445e-12,-8.526512829121202e-12,-8.397282869054834e-12,-8.237521775811274e-12,,,,,,,,
0.475,1.0902390101819037e-13,1.2367884494324244e-13,1.2922996006636822e-13,1.5976109324356003e-13,,,,,,,,,
0.5166666666666666,1.4654943925052066e-14,5.551115123125783e-15,3.0531133177191805e-14,,,,,,,,,,
0.5583333333333333,-9.103828801926284e-15,2.4980018054066022e-14,,,,,,,,,,,
0.6,3.4083846855992306e-14,,,,,,,,,,,,
